date,nav,benchmark
2025-09-17,11987921.05,33.105
2025-09-18,12022814.03,33.23
2025-09-19,12034485.34,33.25
2025-09-22,12020997.35,33.32
2025-09-23,12042435.96,33.34
2025-09-24,12043680.04,33.29
2025-09-25,11997965.71,33.2
2025-09-26,12010299.41,33.175
2025-09-29,12092566.06,33.275
2025-09-30,12089340.88,33.285
2025-10-01,12181245.94,33.505
2025-10-02,12236777.18,33.6
2025-10-03,12277729.82,33.69
2025-10-06,12324482.34,33.615
2025-10-07,12298749.24,33.73
2025-10-08,12346381.9,33.81
2025-10-09,12332926.02,33.835
2025-10-10,12159055.35,33.585
2025-10-13,12261687.64,33.645
2025-10-14,12221071.16,33.63
2025-10-15,12265120.04,33.78
2025-10-16,12259708.68,33.685
2025-10-17,12169805.27,33.57
2025-10-20,12285025.05,33.91
2025-10-21,12249425.86,34.02
2025-10-22,12210162.59,33.915
2025-10-23,12263242.51,33.965
2025-10-24,12435431.68,33.965
2025-10-27,12315050.85,34.29
2025-10-28,12299788.14,34.295
2025-10-29,12286610.25,34.375
2025-10-30,12278664.03,34.345
2025-10-31,12261812.52,34.275
2025-11-03,12224869.63,34.31
2025-11-04,12158688.01,34.26
2025-11-05,12179043.55,34.255
2025-11-06,12107205.81,34.025
2025-11-07,12082185.71,33.695
2025-11-10,12178117.36,34.115
2025-11-11,12186638.0,34.145
2025-11-12,12226752.34,34.295
2025-11-13,12156407.32,34.06
2025-11-14,12060097.78,33.995
2025-11-17,12002248.78,33.905
2025-11-18,11946947.43,33.605
2025-11-19,11966929.29,33.665
2025-11-20,11925345.06,33.775
2025-11-21,11870182.13,33.58
2025-11-24,11966654.99,33.865
2025-11-25,11982258.77,33.9
2025-11-26,12072558.65,34.135
2025-11-27,12082710.87,34.15
2025-11-28,12133403.68,34.215
2025-12-01,12108179.83,34.055
2025-12-02,12122502.16,34.08
2025-12-03,12149458.97,34.005
2025-12-04,12160773.6,34.155
2025-12-05,12173111.49,34.22
2025-12-08,12152589.97,34.15
2025-12-09,12165137.92,34.17
2025-12-10,12148253.01,34.065
2025-12-11,12164263.72,33.98
2025-12-12,12099654.62,33.915
2025-12-15,12073661.84,33.97
2025-12-16,12045887.94,33.79
2025-12-17,12036039.98,33.74
2025-12-18,12089017.18,33.93
2025-12-19,12147384.17,34.01
2025-12-22,12169490.64,34.04
2025-12-23,12169464.6,34.13
2025-12-24,12172798.45,34.13
2025-12-25,12169421.98,34.13
2025-12-26,12170702.28,34.13
2025-12-29,12170294.39,34.205
2025-12-30,12217344.87,34.205
2025-12-31,12203422.13,34.205
2026-01-01,12210190.47,34.205
2026-01-02,12233913.14,34.18
2026-01-05,12375676.53,34.4
2026-01-06,12444847.1,34.52
2026-01-07,12419327.48,34.57
2026-01-08,12400398.25,34.55
2026-01-09,12473630.56,34.755
2026-01-12,12534235.08,34.795
2026-01-13,12571887.57,34.78
2026-01-14,12594660.93,34.685
2026-01-15,12656614.29,34.89
2026-01-16,12631932.24,34.86
2026-01-19,12578262.27,34.62
2026-01-20,12521788.33,34.355
2026-01-21,12589045.39,34.35
2026-01-22,12647874.12,34.605
2026-01-23,12669397.76,34.505
2026-01-26,12690304.66,34.48
2026-01-27,12659037.83,34.52
2026-01-28,12720499.16,34.51
2026-01-29,12648992.37,34.395
2026-01-30,12551483.44,34.505
2026-02-02,12495152.38,34.625
2026-02-03,12544546.18,34.58
2026-02-04,12478487.66,34.585
2026-02-05,12323319.69,34.42
2026-02-06,12433590.25,34.59
2026-02-09,12496279.76,34.67
2026-02-10,12487671.61,34.8
2026-02-11,12501247.46,34.835
2026-02-12,12427536.04,34.69
2026-02-13,12451777.02,34.645
2026-02-16,12452434.45,34.645
2026-02-17,12413080.92,34.715
2026-02-18,12488138.0,34.885
2026-02-19,12488184.73,34.905
2026-02-20,12547122.98,35.005
2026-02-23,12506459.39,34.905
2026-02-24,12538836.07,35.025
2026-02-25,12611122.59,35.155
2026-02-26,12587146.66,35.04
2026-02-27,12594976.6,35.05
2026-03-02,12609971.06,34.965
2026-03-03,12475056.45,34.69
2026-03-04,12560970.94,34.93
2026-03-05,12503561.48,34.72
2026-03-06,12470385.22,34.72
2026-03-09,12430127.55,34.285
2026-03-10,12554175.66,34.72
2026-03-11,12502969.68,34.545
2026-03-12,12489298.78,34.415
2026-03-13,12445534.28,34.33
2026-03-16,12495497.98,34.44
2026-03-17,12495434.7,34.48
2026-03-18,12427037.95,34.325
2026-03-19,12258943.6,34.01
2026-03-20,12171639.19,33.655
2026-03-23,12172868.64,33.71
2026-03-24,12176564.21,33.805
2026-03-25,12260613.39,33.935
2026-03-26,12152642.16,33.75
2026-03-27,12106608.71,33.32
2026-03-30,12137968.64,33.54
2026-03-31,12194321.0,33.555
2026-04-01,12425267.61,33.555
2026-04-02,12276365.7,34.06
2026-04-03,12285558.58,34.06
